Fecha;Cantidad
1982;131,07
1983;152,09
1984;170,68
1985;191,96
1986;215,43
1987;233,05
1988;251,50
1989;273,75
1990;299,68
1991;331,63
1992;357,85
1993;385,15
1994;411,31
1995;439,02
1996;467,51
1997;487,18
1998;492,63
1999;509,77
2000;535,33
2001;564,98
2002;588,35
2003;620,12
2004;648,91
2005;686,61
2006;722,71
2007;760,00
2008;814,51
2009;854,12
2010;884,07
2011;915,24
2012;946,35
2013;979,52
2014;999,80
2015;1021,19
2016;1042,65
2017;1063,50
2018;1090,70
2019;1137,81
2020;1161,80
2021;1189,65
